HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6835.279289, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6836.413241, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6837.547192, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6838.681143, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6839.815095, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6840.949046, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6842.082998, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6843.216949, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6844.350901, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6845.484852, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6846.618804, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6847.752755, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6848.886707, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6850.020658, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6851.154610, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6852.288561, 725.790861
